3797502447.267	4184235.000
3797502447.268	4184236.000
3797502447.275	4184237.000
3797502447.281	4184238.000
3797502447.286	4184239.000
3797502447.291	4184240.000
3797502447.295	4184241.000
3797502447.301	4184242.000
3797502447.307	4184243.000
3797502447.311	4184244.000
3797502447.316	4184245.000
3797502447.321	4184246.000
3797502447.326	4184247.000
3797502447.331	4184248.000
3797502447.337	4184249.000
3797502447.342	4184250.000
3797502447.347	4184251.000
3797502447.353	4184252.000
3797502447.358	4184253.000
3797502447.363	4184254.000
3797502447.369	4184255.000
3797502447.374	4184256.000
3797502447.379	4184257.000
3797502447.384	4184258.000
3797502447.390	4184259.000
3797502447.395	4184260.000
3797502447.400	4184261.000
3797502447.405	4184262.000
3797502447.410	4184263.000
3797502447.415	4184264.000
3797502447.421	4184265.000
3797502447.426	4184266.000
3797502447.431	4184267.000
3797502447.436	4184268.000
3797502447.441	4184269.000
3797502447.446	4184270.000
3797502447.451	4184271.000
3797502447.456	4184272.000
3797502447.461	4184273.000
3797502447.467	4184274.000
3797502447.473	4184275.000
3797502447.478	4184276.000
3797502447.484	4184277.000
3797502447.489	4184278.000
3797502447.495	4184279.000
3797502447.501	4184280.000
3797502447.507	4184281.000
3797502447.512	4184282.000
3797502447.518	4184283.000
3797502447.524	4184284.000
3797502447.529	4184285.000
3797502447.535	4184286.000
3797502447.541	4184287.000
3797502447.546	4184288.000
3797502447.552	4184289.000
3797502447.558	4184290.000
3797502447.563	4184291.000
3797502447.568	4184292.000
3797502447.574	4184293.000
3797502447.579	4184294.000
3797502447.585	4184295.000
3797502447.591	4184296.000
3797502447.596	4184297.000
3797502447.602	4184298.000
3797502447.608	4184299.000
3797502447.614	4184300.000
3797502447.620	4184301.000
3797502447.624	4184302.000
3797502447.630	4184303.000
3797502447.636	4184304.000
3797502447.641	4184305.000
3797502447.647	4184306.000
3797502447.653	4184307.000
3797502447.658	4184308.000
3797502447.664	4184309.000
3797502447.669	4184310.000
3797502447.675	4184311.000
3797502447.680	4184312.000
3797502447.686	4184313.000
3797502447.691	4184314.000
3797502447.697	4184315.000
